"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"강원도  (4200000000)","1,538,492","1,538,492","100,971","133,885","175,424","162,817","219,422","264,586","260,158","132,627","76,586","11,658","358","774,332","774,332","51,606","69,604","98,744","85,867","112,385","136,544","129,786","59,795","27,366","2,566","69","764,160","764,160","49,365","64,281","76,680","76,950","107,037","128,042","130,372","72,832","49,220","9,092","289","1,536,498","1,536,498","96,036","132,133","170,194","160,365","215,872","262,025","267,950","138,112","81,500","11,974","337","772,947","772,947","49,157","68,543","95,604","84,970","110,010","135,371","134,060","63,170","29,382","2,616","64","763,551","763,551","46,879","63,590","74,590","75,395","105,862","126,654","133,890","74,942","52,118","9,358","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도  (5100000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,527,807","1,527,807","90,872","129,053","163,610","158,594","208,819","262,513","275,323","141,876","84,135","12,622","390","768,449","768,449","46,463","66,935","91,639","84,692","106,310","135,485","138,020","65,495","30,543","2,775","92","759,358","759,358","44,409","62,118","71,971","73,902","102,509","127,028","137,303","76,381","53,592","9,847","298","1,517,766","1,517,766","85,769","126,637","156,210","158,524","200,689","260,847","279,134","149,552","86,358","13,625","421","763,025","763,025","43,745","65,534","87,401","84,969","102,093","134,405","140,049","70,018","31,692","3,020","99","754,741","754,741","42,024","61,103","68,809","73,555","98,596","126,442","139,085","79,534","54,666","10,605","322","1,508,500","1,508,500","80,673","125,351","148,129","158,676","194,973","257,290","280,348","159,978","87,800","14,847","435","758,575","758,575","41,230","64,707","82,940","85,409","99,450","132,535","140,615","75,440","32,761","3,394","94","749,925","749,925","39,443","60,644","65,189","73,267","95,523","124,755","139,733","84,538","55,039","11,453","341"
"충청북도  (4300000000)","1,597,427","1,597,427","116,975","146,411","194,415","190,607","237,327","270,874","241,697","120,068","69,193","9,592","268","810,672","810,672","59,729","76,037","108,354","101,877","122,922","139,540","121,418","54,663","24,012","2,081","39","786,755","786,755","57,246","70,374","86,061","88,730","114,405","131,334","120,279","65,405","45,181","7,511","229","1,595,058","1,595,058","109,410","145,882","188,310","187,432","236,190","268,313","251,466","123,834","73,755","10,187","279","810,782","810,782","55,944","75,584","104,821","101,564","122,170","138,266","126,901","57,357","25,901","2,223","51","784,276","784,276","53,466","70,298","83,489","85,868","114,020","130,047","124,565","66,477","47,854","7,964","228","1,593,469","1,593,469","103,333","144,446","181,676","187,761","230,702","272,450","257,982","128,433","75,249","11,181","256","810,448","810,448","52,921","74,720","100,616","102,774","119,606","140,085","130,480","60,151","26,651","2,404","40","783,021","783,021","50,412","69,726","81,060","84,987","111,096","132,365","127,502","68,282","48,598","8,777","216","1,591,177","1,591,177","97,837","142,996","173,746","189,274","225,024","273,441","264,085","135,995","76,117","12,378","284","809,920","809,920","50,291","73,686","95,958","104,096","116,987","140,641","133,917","64,357","27,212","2,730","45","781,257","781,257","47,546","69,310","77,788","85,178","108,037","132,800","130,168","71,638","48,905","9,648","239","1,596,502","1,596,502","93,256","143,242","166,917","193,236","221,812","271,167","269,755","147,206","75,788","13,806","317","813,665","813,665","47,999","73,775","92,277","106,979","115,699","139,309","136,982","69,888","27,534","3,171","52","782,837","782,837","45,257","69,467","74,640","86,257","106,113","131,858","132,773","77,318","48,254","10,635","265"
"충청남도  (4400000000)","2,119,257","2,119,257","162,726","200,673","238,297","259,565","325,419","340,591","299,801","172,067","104,173","15,528","417","1,083,366","1,083,366","83,319","104,165","131,774","139,987","173,385","180,799","150,583","79,071","36,574","3,644","65","1,035,891","1,035,891","79,407","96,508","106,523","119,578","152,034","159,792","149,218","92,996","67,599","11,884","352","2,123,037","2,123,037","152,498","202,299","231,139","253,435","327,001","341,662","313,734","173,947","109,748","17,137","437","1,086,632","1,086,632","78,092","104,744","128,393","137,121","173,888","181,501","158,781","81,106","38,888","4,065","53","1,036,405","1,036,405","74,406","97,555","102,746","116,314","153,113","160,161","154,953","92,841","70,860","13,072","384","2,130,119","2,130,119","143,771","202,057","225,658","251,099","323,996","350,093","325,082","178,624","110,575","18,670","494","1,091,570","1,091,570","73,713","104,493","125,506","136,399","172,380","185,944","165,155","84,068","39,366","4,478","68","1,038,549","1,038,549","70,058","97,564","100,152","114,700","151,616","164,149","159,927","94,556","71,209","14,192","426","2,136,574","2,136,574","135,316","201,787","220,268","252,339","317,999","353,357","335,114","188,307","111,022","20,577","488","1,096,128","1,096,128","69,467","104,188","122,159","137,957","169,167","187,836","171,071","89,369","39,850","4,988","76","1,040,446","1,040,446","65,849","97,599","98,109","114,382","148,832","165,521","164,043","98,938","71,172","15,589","412","2,136,753","2,136,753","126,480","202,673","212,177","252,555","313,704","352,375","340,557","203,653","109,157","22,955","467","1,097,059","1,097,059","64,839","104,636","117,259","138,811","167,301","187,045","174,513","97,157","39,815","5,608","75","1,039,694","1,039,694","61,641","98,037","94,918","113,744","146,403","165,330","166,044","106,496","69,342","17,347","392"
"전라북도  (4500000000)","1,786,855","1,786,855","119,673","170,128","206,579","182,181","259,675","298,654","268,393","170,337","95,991","14,839","405","888,994","888,994","61,472","88,061","111,771","94,160","133,465","155,109","132,849","76,144","32,655","3,254","54","897,861","897,861","58,201","82,067","94,808","88,021","126,210","143,545","135,544","94,193","63,336","11,585","351","1,769,607","1,769,607","110,400","167,541","198,284","176,505","253,575","297,923","277,139","168,628","103,594","15,556","462","880,592","880,592","56,485","86,549","107,645","91,518","129,889","154,957","137,871","76,684","35,531","3,399","64","889,015","889,015","53,915","80,992","90,639","84,987","123,686","142,966","139,268","91,944","68,063","12,157","398","1,754,757","1,754,757","102,482","164,304","190,813","172,999","245,114","300,818","284,897","171,805","104,131","16,920","474","873,419","873,419","52,352","84,960","103,468","90,056","125,613","156,268","142,143","78,851","35,933","3,714","61","881,338","881,338","50,130","79,344","87,345","82,943","119,501","144,550","142,754","92,954","68,198","13,206","413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"전북특별자치도  (5200000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,738,690","1,738,690","95,081","161,370","181,258","172,652","234,476","301,960","288,862","179,787","104,235","18,547","462","866,030","866,030","48,534","83,492","98,552","90,280","119,955","156,744","144,724","83,098","36,433","4,163","55","872,660","872,660","46,547","77,878","82,706","82,372","114,521","145,216","144,138","96,689","67,802","14,384","407","1,724,856","1,724,856","88,058","159,659","172,187","172,921","227,201","298,093","291,376","191,585","103,074","20,255","447","859,325","859,325","44,911","82,387","93,502","90,945","116,001","154,605","146,602","89,071","36,534","4,715","52","865,531","865,531","43,147","77,272","78,685","81,976","111,200","143,488","144,774","102,514","66,540","15,540","395"
"전라남도  (4600000000)","1,832,803","1,832,803","123,712","163,148","193,735","178,428","252,254","312,463","284,871","191,022","115,490","17,216","464","922,221","922,221","63,098","84,416","108,408","93,924","134,387","168,369","144,081","85,149","36,917","3,422","50","910,582","910,582","60,614","78,732","85,327","84,504","117,867","144,094","140,790","105,873","78,573","13,794","414","1,817,697","1,817,697","114,889","161,566","185,970","172,262","247,532","311,348","293,838","188,760","122,806","18,184","542","915,272","915,272","58,743","83,264","104,135","90,528","131,641","167,809","149,873","85,803","39,775","3,646","55","902,425","902,425","56,146","78,302","81,835","81,734","115,891","143,539","143,965","102,957","83,031","14,538","487","1,804,217","1,804,217","107,726","158,933","178,152","169,502","240,813","310,282","305,457","189,922","123,690","19,148","592","909,548","909,548","55,007","81,807","99,758","89,471","127,824","167,170","156,840","87,378","40,423","3,801","69","894,669","894,669","52,719","77,126","78,394","80,031","112,989","143,112","148,617","102,544","83,267","15,347","523","1,788,819","1,788,819","101,368","156,438","169,229","169,144","232,746","308,317","311,699","195,421","123,222","20,694","541","902,380","902,380","51,755","80,256","94,710","89,493","123,138","166,276","160,720","90,957","40,831","4,171","73","886,439","886,439","49,613","76,182","74,519","79,651","109,608","142,041","150,979","104,464","82,391","16,523","468","1,779,135","1,779,135","95,608","155,722","159,467","170,351","227,279","303,160","317,260","205,183","122,263","22,308","534","898,640","898,640","48,809","79,989","89,070","90,587","120,073","163,129","164,412","96,669","41,199","4,631","72","880,495","880,495","46,799","75,733","70,397","79,764","107,206","140,031","152,848","108,514","81,064","17,677","462"
"경상북도  (4700000000)","2,626,609","2,626,609","178,515","221,964","276,021","279,475","377,180","454,427","433,047","244,151","140,963","20,313","553","1,323,661","1,323,661","91,921","116,463","156,417","149,655","196,384","235,784","215,957","110,147","46,691","4,181","61","1,302,948","1,302,948","86,594","105,501","119,604","129,820","180,796","218,643","217,090","134,004","94,272","16,132","492","2,600,492","2,600,492","165,119","220,579","261,320","268,368","369,977","449,269","446,069","248,866","148,945","21,453","527","1,311,881","1,311,881","84,918","115,633","148,701","144,472","192,241","233,336","224,099","113,895","50,038","4,490","58","1,288,611","1,288,611","80,201","104,946","112,619","123,896","177,736","215,933","221,970","134,971","98,907","16,963","469","2,554,324","2,554,324","151,926","217,311","248,255","259,154","357,366","444,707","449,427","252,946","150,000","22,667","565","1,290,298","1,290,298","78,092","113,675","142,133","140,706","186,024","230,473","226,589","117,089","50,686","4,777","54","1,264,026","1,264,026","73,834","103,636","106,122","118,448","171,342","214,234","222,838","135,857","99,314","17,890","511","2,531,384","2,531,384","140,258","215,753","235,821","255,763","344,000","441,289","457,429","264,989","150,622","24,909","551","1,280,547","1,280,547","72,107","112,797","135,339","140,152","179,173","228,733","231,244","124,324","51,295","5,324","59","1,250,837","1,250,837","68,151","102,956","100,482","115,611","164,827","212,556","226,185","140,665","99,327","19,585","492","2,506,526","2,506,526","128,817","215,139","220,603","252,742","333,006","433,655","461,960","285,590","146,989","27,460","565","1,268,493","1,268,493","66,181","112,339","126,342","139,375","174,024","225,101","234,098","134,248","50,681","6,038","66","1,238,033","1,238,033","62,636","102,800","94,261","113,367","158,982","208,554","227,862","151,342","96,308","21,422","499"
"경상남도  (4800000000)","3,314,183","3,314,183","250,669","319,461","362,661","379,886","527,396","579,779","494,113","249,720","131,422","18,682","394","1,668,338","1,668,338","128,993","166,472","202,593","198,989","271,358","296,690","245,713","112,084","41,890","3,497","59","1,645,845","1,645,845","121,676","152,989","160,068","180,897","256,038","283,089","248,400","137,636","89,532","15,185","335","3,280,493","3,280,493","229,942","318,924","341,089","362,225","519,743","576,029","514,199","259,695","138,257","20,006","384","1,651,675","1,651,675","118,201","165,885","191,246","190,640","266,716","295,064","256,450","118,710","44,961","3,751","51","1,628,818","1,628,818","111,741","153,039","149,843","171,585","253,027","280,965","257,749","140,985","93,296","16,255","333","3,251,158","3,251,158","211,999","315,947","322,711","350,135","505,303","582,857","529,417","269,057","141,937","21,352","443","1,636,987","1,636,987","109,126","163,921","181,299","185,290","259,730","297,614","265,076","124,074","46,745","4,055","57","1,614,171","1,614,171","102,873","152,026","141,412","164,845","245,573","285,243","264,341","144,983","95,192","17,297","386","3,228,380","3,228,380","195,007","314,142","305,683","345,727","489,536","584,759","540,616","284,691","144,354","23,414","451","1,626,926","1,626,926","100,355","162,707","172,576","184,290","251,519","298,890","270,511","133,040","48,402","4,569","67","1,601,454","1,601,454","94,652","151,435","133,107","161,437","238,017","285,869","270,105","151,651","95,952","18,845","384","3,207,383","3,207,383","178,917","314,631","288,774","342,312","475,747","578,976","548,119","310,472","143,566","25,362","507","1,617,421","1,617,421","92,087","162,930","163,155","183,673","245,089","296,014","274,779","145,306","49,268","5,060","60","1,589,962","1,589,962","86,830","151,701","125,619","158,639","230,658","282,962","273,340","165,166","94,298","20,302","447"
"제주특별자치도  (5000000000)","676,759","676,759","57,987","70,369","80,923","81,026","111,251","114,905","84,877","45,783","25,230","4,213","195","339,177","339,177","29,782","36,810","42,819","40,755","56,996","59,685","42,122","20,913","8,623","662","10","337,582","337,582","28,205","33,559","38,104","40,271","54,255","55,220","42,755","24,870","16,607","3,551","185","678,159","678,159","54,806","70,873","77,720","79,539","110,998","117,262","89,005","46,921","26,288","4,516","231","339,590","339,590","28,140","36,779","41,252","40,132","56,630","60,847","44,241","21,561","9,216","783","9","338,569","338,569","26,666","34,094","36,468","39,407","54,368","56,415","44,764","25,360","17,072","3,733","222","675,252","675,252","51,403","70,469","74,037","78,167","108,720","118,487","93,983","47,881","26,824","4,986","295","337,976","337,976","26,386","36,468","39,448","39,613","55,331","61,292","46,954","21,993","9,556","918","17","337,276","337,276","25,017","34,001","34,589","38,554","53,389","57,195","47,029","25,888","17,268","4,068","278","670,368","670,368","47,756","70,262","70,009","77,588","105,218","119,431","96,993","49,920","27,422","5,537","232","335,255","335,255","24,475","36,234","37,376","39,488","53,180","61,802","48,562","23,054","9,951","1,118","15","335,113","335,113","23,281","34,028","32,633","38,100","52,038","57,629","48,431","26,866","17,471","4,419","217","664,792","664,792","44,221","70,257","65,686","77,002","102,473","118,870","98,578","53,569","27,880","6,059","197","332,165","332,165","22,616","36,139","35,106","39,221","51,644","61,405","49,584","24,780","10,375","1,282","13","332,627","332,627","21,605","34,118","30,580","37,781","50,829","57,465","48,994","28,789","17,505","4,777","184"
